TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-04 00:30:49,1770165049120,binance-futures-testnet-trader-assi.vercel.app/api/prices,GET,,200,r8lkq-1770165048034-6c82d7cd14c8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",info,production,main,MISS,function,/run_local_dashboard.py,binance-futures-testnet-trader-assi.vercel.app,binance-futures-testnet-trader-assi.vercel.app,dpl_H7cmQRMgQ8dugNDtKiJDqQQZNSPg,,,,,"HTTP Request: GET https://testnet.binancefuture.com/fapi/v1/ticker/price?symbol=BNBUSDT ""HTTP/1.1 200 OK""",prj_y51qRNVR7eIp7dIEekcdrAN4ZEv6,,,,,
2026-02-04 00:30:49,1770165049121,binance-futures-testnet-trader-assi.vercel.app/api/prices,GET,,200,r8lkq-1770165048034-6c82d7cd14c8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",info,production,main,MISS,function,/run_local_dashboard.py,binance-futures-testnet-trader-assi.vercel.app,binance-futures-testnet-trader-assi.vercel.app,dpl_H7cmQRMgQ8dugNDtKiJDqQQZNSPg,,,,,"127.0.0.1 - - [04/Feb/2026 00:30:49] ""GET /api/prices HTTP/1.1"" 200 -",prj_y51qRNVR7eIp7dIEekcdrAN4ZEv6,,,,,
2026-02-04 00:30:48,1770165048034,binance-futures-testnet-trader-assi.vercel.app/api/prices,GET,,200,r8lkq-1770165048034-6c82d7cd14c8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/run_local_dashboard.py,binance-futures-testnet-trader-assi.vercel.app,binance-futures-testnet-trader-assi.vercel.app,dpl_H7cmQRMgQ8dugNDtKiJDqQQZNSPg,780,iad1,244,2048,,prj_y51qRNVR7eIp7dIEekcdrAN4ZEv6,,,01KGK0Y50EDE0XWM4PY5QWERS1,f7Lw70JDjDzQ,1
2026-02-04 00:30:38,1770165038357,binance-futures-testnet-trader-assi.vercel.app/api/prices,GET,,200,vrdlm-1770165038047-a76e33b5a6a2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",info,production,main,MISS,function,/run_local_dashboard.py,binance-futures-testnet-trader-assi.vercel.app,binance-futures-testnet-trader-assi.vercel.app,dpl_H7cmQRMgQ8dugNDtKiJDqQQZNSPg,,,,,"HTTP Request: GET https://testnet.binancefuture.com/fapi/v1/ticker/price?symbol=BTCUSDT ""HTTP/1.1 200 OK""",prj_y51qRNVR7eIp7dIEekcdrAN4ZEv6,,,,,
2026-02-04 00:30:38,1770165038509,binance-futures-testnet-trader-assi.vercel.app/api/prices,GET,,200,vrdlm-1770165038047-a76e33b5a6a2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",info,production,main,MISS,function,/run_local_dashboard.py,binance-futures-testnet-trader-assi.vercel.app,binance-futures-testnet-trader-assi.vercel.app,dpl_H7cmQRMgQ8dugNDtKiJDqQQZNSPg,,,,,"HTTP Request: GET https://testnet.binancefuture.com/fapi/v1/ticker/price?symbol=ETHUSDT ""HTTP/1.1 200 OK""",prj_y51qRNVR7eIp7dIEekcdrAN4ZEv6,,,,,
2026-02-04 00:30:38,1770165038666,binance-futures-testnet-trader-assi.vercel.app/api/prices,GET,,200,vrdlm-1770165038047-a76e33b5a6a2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",info,production,main,MISS,function,/run_local_dashboard.py,binance-futures-testnet-trader-assi.vercel.app,binance-futures-testnet-trader-assi.vercel.app,dpl_H7cmQRMgQ8dugNDtKiJDqQQZNSPg,,,,,"HTTP Request: GET https://testnet.binancefuture.com/fapi/v1/ticker/price?symbol=BNBUSDT ""HTTP/1.1 200 OK""",prj_y51qRNVR7eIp7dIEekcdrAN4ZEv6,,,,,
2026-02-04 00:30:38,1770165038666,binance-futures-testnet-trader-assi.vercel.app/api/prices,GET,,200,vrdlm-1770165038047-a76e33b5a6a2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",info,production,main,MISS,function,/run_local_dashboard.py,binance-futures-testnet-trader-assi.vercel.app,binance-futures-testnet-trader-assi.vercel.app,dpl_H7cmQRMgQ8dugNDtKiJDqQQZNSPg,,,,,"127.0.0.1 - - [04/Feb/2026 00:30:38] ""GET /api/prices HTTP/1.1"" 200 -",prj_y51qRNVR7eIp7dIEekcdrAN4ZEv6,,,,,
2026-02-04 00:30:38,1770165038047,binance-futures-testnet-trader-assi.vercel.app/api/prices,GET,,200,vrdlm-1770165038047-a76e33b5a6a2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/run_local_dashboard.py,binance-futures-testnet-trader-assi.vercel.app,binance-futures-testnet-trader-assi.vercel.app,dpl_H7cmQRMgQ8dugNDtKiJDqQQZNSPg,492,iad1,243,2048,,prj_y51qRNVR7eIp7dIEekcdrAN4ZEv6,,,01KGK0XV2GPZPXGEX69Z2M1WGR,f7Lw70JDjDzQ,1
2026-02-04 00:30:33,1770165033340,binance-futures-testnet-trader-assi.vercel.app/api/balance,GET,,200,525gg-1770165033031-6e703bcdef49,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",info,production,main,MISS,function,/run_local_dashboard.py,binance-futures-testnet-trader-assi.vercel.app,binance-futures-testnet-trader-assignment-h4u7x2miq.vercel.app,dpl_H7cmQRMgQ8dugNDtKiJDqQQZNSPg,,,,,"HTTP Request: GET https://testnet.binancefuture.com/fapi/v2/balance?timestamp=1770165033151&recvWindow=5000&signature=76c19bfa16388607ce153f5bf5be62f9eeb7c7ad162560b4b12504784c84b6f1 ""HTTP/1.1 200 OK""",prj_y51qRNVR7eIp7dIEekcdrAN4ZEv6,,,,,
2026-02-04 00:30:33,1770165033340,binance-futures-testnet-trader-assi.vercel.app/api/balance,GET,,200,525gg-1770165033031-6e703bcdef49,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",info,production,main,MISS,function,/run_local_dashboard.py,binance-futures-testnet-trader-assi.vercel.app,binance-futures-testnet-trader-assignment-h4u7x2miq.vercel.app,dpl_H7cmQRMgQ8dugNDtKiJDqQQZNSPg,,,,,"127.0.0.1 - - [04/Feb/2026 00:30:33] ""GET /api/balance HTTP/1.1"" 200 -",prj_y51qRNVR7eIp7dIEekcdrAN4ZEv6,,,,,
